survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,3,female,25.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True
0,3,male,18.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
1,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,yes,True
0,3,male,45.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
1,2,female,40.0,0,0,9.35,S,Second,woman,False,,Southampton,yes,True
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
1,1,female,33.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,55.0,1,0,59.4,C,First,woman,False,C,Cherbourg,yes,False
0,3,male,36.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
0,3,male,,1,0,9.35,S,Third,man,True,,Southampton,no,False
